"","GENDER","EDU_FATHER","EDU_MOTHER","OCC_FATHER","OCC_MOTHER","STRATUM","SISBEN","PEOPLE_HOUSE","INTERNET","TV","COMPUTER","WASHING_MCH","MIC_OVEN","CAR","DVD","FRESH","PHONE","MOBILE","REVENUE","JOB","SCHOOL_NAT","SCHOOL_TYPE","MAT_S11","CR_S11","CC_S11","BIO_S11","ENG_S11","ACADEMIC_PROGRAM","QR_PRO","CR_PRO","CC_PRO","ENG_PRO","WC_PRO","FEP_PRO","G_SC","PERCENTILE","X2ND_DECILE","QUARTILE","SEL","SEL_IHE","AVG_S11"
"7616","M","Incomplete Secundary","Complete Secundary","Entrepreneur","Entrepreneur","Stratum 5","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",71,60,73,68,57,"INDUSTRIAL ENGINEERING",74,72,73,72,81,194,169,81,"5","4","3","4",65.8
"7617","F","Complete technique or technology","Postgraduate education","Independent","Technical or professional level employee","Stratum 1","Level 1","Two","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PUBLIC","ACADEMIC",74,66,58,70,55,"INDUSTRIAL ENGINEERING",94,99,91,56,15,200,174,87,"5","4","2","2",64.6
"7618","F","Complete Secundary","Complete professional education","Retired","Technical or professional level employee","Stratum 1","Level 2","Four","No","Yes","Yes","No","No","No","No","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",60,56,56,70,43,"INDUSTRIAL ENGINEERING",83,63,70,35,70,118,160,71,"4","3","2","2",57
"7619","F","Complete Secundary","Complete Secundary","Small entrepreneur","Home","Stratum 2","Level 3","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Between 2 and less than 3 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",58,54,56,59,49,"INDUSTRIAL ENGINEERING",90,50,15,87,68,68,159,70,"4","3","2","3",55.2
"7620","M","Complete professional education","Complete professional education","Technical or professional level employee","Technical or professional level employee","Stratum 3","It is not classified by the SISBEN","Five","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",57,56,51,63,62,"MECHANICAL ENGINEERING",74,36,82,71,64,112,161,73,"4","3","4","2",57.8
"7621","M","Postgraduate education","Postgraduate education","Retired","Executive","Stratum 5","It is not classified by the SISBEN","Four","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",82,56,70,78,82,"CIVIL ENGINEERING",100,97,99,97,77,218,205,100,"5","4","2","4",73.6
"7622","F","Incomplete Secundary","Incomplete technical or technological","Other occupation","Home","Stratum 2","Level 1","Five","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PUBLIC","ACADEMIC",63,57,70,62,49,"INDUSTRIAL ENGINEERING",84,81,80,19,41,207,159,69,"4","3","2","2",60.2
"7623","M","Incomplete primary","Complete primary","Operator","Operator","Stratum 2","Level 2","Four","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PRIVATE","TECHNICAL/ACADEMIC",48,62,54,61,43,"INDUSTRIAL ENGINEERING",47,36,30,43,61,99,141,41,"3","2","4","2",53.6
"7624","M","Not sure","Complete Secundary","Independent","Independent","Stratum 4","It is not classified by the SISBEN","Two","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",66,66,62,72,62,"ELECTRONIC ENGINEERING",60,25,43,75,33,136,145,49,"3","2","3","2",65.6
"7625","F","Complete professional education","Complete professional education","Auxiliary or Administrative","Executive","Stratum 2","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Between 3 and less than 5 LMMW","No","PUBLIC","TECHNICAL",76,81,70,74,67,"INDUSTRIAL ENGINEERING",98,82,88,94,100,205,214,100,"5","4","1","2",73.6
"7626","M","Postgraduate education","Complete professional education","Executive","Home","Stratum 4","Esta clasificada en otro Level del SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",71,69,70,74,90,"ELECTRONIC ENGINEERING",98,96,90,96,83,194,196,98,"5","4","4","4",74.8
"7627","F","Incomplete Secundary","Complete Secundary","Operator","Home","Stratum 1","Level 1","Three","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","less than 1 LMMW","No","PUBLIC","ACADEMIC",60,61,56,58,48,"INDUSTRIAL ENGINEERING",62,61,94,67,64,159,166,79,"4","4","1","2",56.6
"7628","M","Complete professional education","Complete professional education","Executive","Home","Stratum 5","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",63,61,70,66,72,"INDUSTRIAL ENGINEERING",99,75,66,90,62,148,178,90,"5","4","4","4",66.4
"7629","M","Complete professional education","Complete Secundary","Executive","Operator","Stratum 3","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PRIVATE","ACADEMIC",63,67,64,63,68,"CIVIL ENGINEERING",97,42,74,80,0,130,138,37,"2","2","2","2",65
"7630","F","Complete professional education","Complete professional education","Technical or professional level employee","Home","Stratum 2","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",57,74,77,61,90,"INDUSTRIAL ENGINEERING",76,34,64,100,87,169,174,87,"5","4","4","1",71.8
"7631","F","Complete professional education","Complete professional education","Entrepreneur","Entrepreneur","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",53,47,56,50,50,"CIVIL ENGINEERING",29,20,21,51,51,138,132,27,"2","2","3","2",51.2
"7632","F","Complete professional education","Complete technique or technology","Technical or professional level employee","Auxiliary or Administrative","Stratum 2","It is not classified by the SISBEN","Four","No","Yes","No","Yes","No","No","No","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PRIVATE","ACADEMIC",49,48,47,55,52,"CIVIL ENGINEERING",17,14,43,42,52,104,131,25,"2","2","4","2",50.2
"7633","F","Incomplete technical or technological","Complete Secundary","Operator","Independent","Stratum 3","It is not classified by the SISBEN","Five","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",64,54,58,58,55,"CIVIL ENGINEERING",57,50,61,21,57,145,147,51,"3","3","3","2",57.8
"7634","M","Postgraduate education","Complete professional education","Executive","Technical or professional level employee","Stratum 3","It is not classified by the SISBEN","Four","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","10 or more LMMW","No","PRIVATE","ACADEMIC",73,87,70,67,62,"ELECTROMECHANICAL ENGINEERING",44,10,8,72,7,169,124,16,"1","1","2","2",71.8
"7635","M","Complete professional education","Complete professional education","Independent","Other occupation","Stratum 3","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",54,66,62,58,43,"CIVIL ENGINEERING",95,81,29,70,49,163,161,73,"4","3","4","2",56.6
"7636","F","Complete Secundary","Incomplete Professional Education","Independent","Independent","Stratum 3","It is not classified by the SISBEN","Six","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PRIVATE","ACADEMIC",61,65,62,65,48,"CIVIL ENGINEERING",87,84,62,54,85,171,170,82,"5","4","2","2",60.2
"7637","F","Complete Secundary","Complete technique or technology","Operator","Technical or professional level employee","Stratum 3","Level 2","Three","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",53,65,62,63,68,"INDUSTRIAL ENGINEERING",65,51,47,82,71,124,159,70,"4","3","2","2",62.2
"7638","M","Postgraduate education","Postgraduate education","Executive","Technical or professional level employee","Stratum 4","Esta clasificada en otro Level del SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",62,46,53,58,60,"CHEMICAL ENGINEERING",94,41,42,73,31,148,155,64,"4","3","4","4",55.8
"7639","M","Complete professional education","Complete professional education","Independent professional","Home","Stratum 2","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",77,72,73,81,80,"CIVIL ENGINEERING",97,94,91,89,79,159,190,96,"5","4","4","2",76.6
"7640","M","Complete professional education","Complete professional education","Independent professional","Independent professional","Stratum 4","Esta clasificada en otro Level del SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",74,75,64,77,62,"CIVIL ENGINEERING",100,87,88,87,86,193,191,97,"5","4","4","4",70.4
"7641","M","Complete Secundary","Complete Secundary","Independent","Home","Stratum 3","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",61,65,64,63,43,"AERONAUTICAL ENGINEERING",89,76,62,45,37,162,158,69,"4","3","2","2",59.2
"7642","M","Incomplete primary","Incomplete primary","Other occupation","Home","Stratum 1","Level 1","Six","No","No","No","No","No","No","No","Yes","Yes","No","less than 1 LMMW","No","PUBLIC","ACADEMIC",87,66,58,82,49,"MECHANICAL ENGINEERING",96,84,85,70,10,82,167,79,"4","4","1","2",68.4
"7643","M","Complete technique or technology","Complete technique or technology","Independent","Technical or professional level employee","Stratum 6","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",54,38,50,58,54,"CHEMICAL ENGINEERING",69,58,39,51,33,116,147,52,"3","3","3","3",50.8
"7644","M","Postgraduate education","Complete technique or technology","Technical or professional level employee","Home","Stratum 4","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",77,77,77,66,85,"INDUSTRIAL ENGINEERING",91,82,89,94,16,16,175,87,"5","4","4","4",76.4
"7645","M","Complete professional education","Complete technique or technology","Independent professional","Home","Stratum 4","It is not classified by the SISBEN","Two","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",63,67,60,60,67,"INDUSTRIAL ENGINEERING",99,23,25,83,93,93,166,78,"4","4","4","4",63.4
"7646","M","Complete Secundary","Complete technique or technology","Independent","Technical or professional level employee","Stratum 1","Level 1","Two","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Between 2 and less than 3 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",61,65,67,77,65,"ELECTRONIC ENGINEERING",98,73,86,73,36,178,172,85,"5","4","2","1",67
"7647","F","Not sure","Not sure","Small entrepreneur","Small entrepreneur","Stratum 3","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",47,50,53,55,52,"CIVIL ENGINEERING",53,57,54,71,2,83,142,43,"3","2","1","2",51.4
"7648","M","Postgraduate education","Postgraduate education","Executive","Executive","Stratum 3","It is not classified by the SISBEN","Two","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",74,78,70,71,72,"INDUSTRIAL ENGINEERING",82,61,87,85,66,177,173,85,"5","4","4","2",73
"7649","M","Postgraduate education","Postgraduate education","Technical or professional level employee","Technical or professional level employee","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",73,81,77,62,85,"MECHANICAL ENGINEERING",100,70,89,90,88,169,189,96,"5","4","4","4",75.6
"7650","F","Complete Secundary","Complete Secundary","Operator","Home","Stratum 3","Level 3","Five","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Between 1 and less than 2 LMMW","No","PRIVATE","ACADEMIC",76,71,67,65,74,"CHEMICAL ENGINEERING",85,55,27,88,78,88,163,75,"4","4","2","3",70.6
"7651","F","Postgraduate education","Postgraduate education","Technical or professional level employee","Technical or professional level employee","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",60,71,65,71,80,"CHEMICAL ENGINEERING",64,84,82,91,43,164,171,83,"5","4","4","4",69.4
"7652","M","Complete Secundary","Complete Secundary","Independent","Home","Stratum 3","It is not classified by the SISBEN","Seven","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PUBLIC","ACADEMIC",65,45,44,60,54,"INDUSTRIAL ENGINEERING",89,44,9,74,22,193,145,48,"3","2","2","3",53.6
"7653","F","Incomplete Professional Education","Postgraduate education","Technical or professional level employee","Technical or professional level employee","Stratum 3","It is not classified by the SISBEN","Three","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",67,62,70,65,60,"INDUSTRIAL ENGINEERING",90,78,95,88,100,192,210,100,"5","4","4","2",64.8
"7654","M","Complete professional education","Complete Secundary","Entrepreneur","Independent","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",61,64,60,61,57,"CIVIL ENGINEERING",95,41,78,85,18,174,164,76,"4","4","4","2",60.6
"7655","M","Complete primary","Complete Secundary","Independent professional","Independent professional","Stratum 3","It is not classified by the SISBEN","Five","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",60,50,53,60,48,"MECHANICAL ENGINEERING",30,25,40,47,71,127,140,40,"3","2","2","2",54.2
"7656","F","Complete professional education","Complete Secundary","Technical or professional level employee","Technical or professional level employee","Stratum 2","Level 1","Four","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PRIVATE","ACADEMIC",58,55,54,57,60,"CHEMICAL ENGINEERING",89,93,74,76,77,164,178,90,"5","4","2","2",56.8
"7657","M","Incomplete technical or technological","Incomplete Professional Education","Technical or professional level employee","Independent","Stratum 2","Level 2","Seven","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PUBLIC","ACADEMIC",73,64,73,70,46,"ELECTRIC ENGINEERING AND TELECOMMUNICATIONS",71,20,78,53,83,140,157,67,"4","3","4","2",65.2
"7658","M","Complete technique or technology","Complete technique or technology","Operator","Technical or professional level employee","Stratum 1","Level 2","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PUBLIC","ACADEMIC",56,41,45,53,52,"CIVIL ENGINEERING",57,46,37,49,42,114,143,45,"3","2","4","2",49.4
"7659","M","Complete technique or technology","Complete professional education","Operator","Technical or professional level employee","Stratum 1","Level 1","Four","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PUBLIC","TECHNICAL",56,40,42,52,40,"INDUSTRIAL ENGINEERING",58,12,55,10,1,105,122,14,"1","1","2","2",46
"7660","M","Complete professional education","Complete professional education","Retired","Home","Stratum 4","It is not classified by the SISBEN","Six","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",65,59,55,65,65,"INDUSTRIAL ENGINEERING",84,96,80,91,17,161,175,87,"5","4","4","4",61.8
"7661","F","Incomplete primary","Incomplete Secundary","Independent","Home","Stratum 2","Level 2","Six","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","Between 1 and less than 2 LMMW","Yes, less than 20 hours per week","PUBLIC","ACADEMIC",57,60,70,66,64,"INDUSTRIAL ENGINEERING",90,94,87,76,64,160,180,91,"5","4","1","2",63.4
"7662","M","Complete professional education","Complete professional education","Technical or professional level employee","Technical or professional level employee","Stratum 1","Level 1","Three","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","Between 2 and less than 3 LMMW","No","PUBLIC","ACADEMIC",68,45,56,66,55,"INDUSTRIAL ENGINEERING",78,64,46,51,2,154,142,43,"3","2","3","2",58
"7663","F","Complete professional education","Complete Secundary","Retired","Independent","Stratum 3","It is not classified by the SISBEN","Three","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",47,48,49,46,44,"CIVIL ENGINEERING",44,15,16,5,27,98,121,13,"1","1","2","2",46.8
"7664","F","Complete Secundary","Complete technique or technology","Auxiliary or Administrative","Auxiliary or Administrative","Stratum 3","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",67,66,62,63,68,"CIVIL ENGINEERING",98,75,77,80,0,91,145,49,"3","2","3","4",65.2
"7665","F","Complete Secundary","Complete Secundary","Independent","Home","Stratum 2","Level 2","Four","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",57,54,49,53,57,"INDUSTRIAL ENGINEERING",67,36,75,53,30,164,150,56,"3","3","2","2",54
"7666","M","Postgraduate education","Complete professional education","Executive","Home","Stratum 4","It is not classified by the SISBEN","Five","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",70,68,67,70,82,"CIVIL ENGINEERING",100,96,94,98,89,89,204,100,"5","4","4","4",71.4
"7667","F","Incomplete Secundary","Complete primary","Small entrepreneur","Home","Stratum 2","Level 2","Five","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PRIVATE","ACADEMIC",42,48,53,49,42,"AERONAUTICAL ENGINEERING",29,24,10,43,2,92,117,9,"1","1","2","2",46.8
"7668","F","Complete Secundary","Incomplete primary","Other occupation","Independent","Stratum 2","Level 1","Two","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PUBLIC","ACADEMIC",58,57,65,66,54,"INDUSTRIAL ENGINEERING",36,64,54,75,13,176,146,50,"3","3","1","1",60
"7669","F","Complete professional education","Complete professional education","Other occupation","Other occupation","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",65,67,64,63,62,"INDUSTRIAL ENGINEERING",86,67,93,77,71,199,175,87,"5","4","4","2",64.2
"7670","M","Postgraduate education","Complete professional education","Technical or professional level employee","Technical or professional level employee","Stratum 2","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",78,87,82,78,85,"MECHANICAL ENGINEERING",97,98,99,96,60,60,198,99,"5","4","4","4",82
"7671","M","Complete professional education","Complete Secundary","Technical or professional level employee","Home","Stratum 4","Level 3","Four","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",74,57,56,57,72,"CHEMICAL ENGINEERING",83,52,80,77,35,77,162,74,"4","3","4","3",63.2
"7672","F","Not sure","Complete professional education","Operator","Independent professional","Stratum 2","It is not classified by the SISBEN","Two","No","No","Yes","No","No","Yes","No","Yes","Yes","No","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",73,62,82,77,62,"CIVIL ENGINEERING",81,72,59,77,36,36,162,73,"4","3","4","3",71.2
"7673","M","Complete Secundary","Complete primary","Independent","Home","Stratum 1","Level 1","Four","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Between 1 and less than 2 LMMW","Yes, less than 20 hours per week","PUBLIC","ACADEMIC",58,51,58,52,44,"CIVIL ENGINEERING",97,45,11,39,39,156,145,48,"3","2","1","3",52.6
"7674","F","Not sure","Complete technique or technology","Other occupation","Auxiliary or Administrative","Stratum 1","Level 1","Four","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PRIVATE","TECHNICAL/ACADEMIC",50,60,58,61,74,"INDUSTRIAL ENGINEERING",68,29,11,73,90,132,150,56,"3","3","2","3",60.6
"7675","F","Complete technique or technology","Complete professional education","Independent","Small entrepreneur","Stratum 3","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",73,66,67,66,76,"CHEMICAL ENGINEERING",87,62,39,92,82,172,170,82,"5","4","2","4",69.6
"7676","M","Complete professional education","Complete professional education","Executive","Home","Stratum 3","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",61,53,52,50,65,"INDUSTRIAL ENGINEERING",73,60,52,71,75,155,161,73,"4","3","4","4",56.2
"7677","M","Complete technique or technology","Complete professional education","Technical or professional level employee","Technical or professional level employee","Stratum 2","It is not classified by the SISBEN","Three","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",73,66,77,68,78,"INDUSTRIAL ENGINEERING",96,98,96,88,99,160,202,99,"5","4","4","4",72.4
"7678","M","Complete technique or technology","Complete professional education","Technical or professional level employee","Auxiliary or Administrative","Stratum 3","Level 3","Four","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",76,71,67,65,74,"CIVIL ENGINEERING",96,93,86,90,37,170,182,92,"5","4","4","2",70.6
"7679","M","Complete professional education","Complete professional education","Other occupation","Independent professional","Stratum 3","Level 3","Three","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",63,64,55,64,67,"MECHANICAL ENGINEERING",94,54,34,91,32,126,161,72,"4","3","4","4",62.6
"7680","F","Complete primary","Incomplete Secundary","Independent","Home","Stratum 2","It is not classified by the SISBEN","Four","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",53,56,65,54,60,"CIVIL ENGINEERING",68,70,54,72,27,173,155,64,"4","3","1","3",57.6
"7681","M","Complete Secundary","Incomplete Secundary","Small entrepreneur","Operator","Stratum 2","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Between 2 and less than 3 LMMW","No","PRIVATE","TECHNICAL/ACADEMIC",43,43,50,38,54,"CIVIL ENGINEERING",31,4,12,27,16,115,116,8,"1","1","2","2",45.6
"7682","F","Complete Secundary","Complete Secundary","Operator","Home","Stratum 1","It is not classified by the SISBEN","Two","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PRIVATE","TECHNICAL/ACADEMIC",77,61,73,77,64,"INDUSTRIAL ENGINEERING",96,96,77,73,88,166,184,93,"5","4","2","2",70.4
"7683","M","Complete Secundary","Complete Secundary","Technical or professional level employee","Technical or professional level employee","Stratum 3","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PRIVATE","TECHNICAL/ACADEMIC",63,67,56,55,44,"CIVIL ENGINEERING",78,78,26,44,58,133,152,60,"4","3","3","2",57
"7684","F","Complete professional education","Postgraduate education","Retired","Executive","Stratum 3","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",64,64,60,81,59,"CHEMICAL ENGINEERING",47,19,92,87,27,159,156,65,"4","3","4","3",65.6
"7685","M","Complete professional education","Complete professional education","Independent professional","Independent professional","Stratum 2","It is not classified by the SISBEN","Six","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",81,66,70,96,74,"ELECTRIC ENGINEERING",96,26,40,96,88,88,171,83,"5","4","1","4",77.4
"7686","M","Complete professional education","Complete professional education","Independent professional","Independent professional","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",86,87,82,81,82,"CIVIL ENGINEERING",100,88,98,98,14,154,190,96,"5","4","4","4",83.6
"7687","F","Complete professional education","Complete professional education","Entrepreneur","Auxiliary or Administrative","Stratum 5","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",73,59,56,78,72,"INDUSTRIAL ENGINEERING",90,88,85,82,61,89,178,89,"5","4","2","4",67.6
"7688","M","Postgraduate education","Complete technique or technology","Independent professional","Independent","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",81,61,77,59,82,"CIVIL ENGINEERING",99,98,99,90,84,179,201,99,"5","4","4","4",72
"7689","F","Complete technique or technology","Complete technique or technology","Technical or professional level employee","Home","Stratum 3","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",62,62,60,55,90,"CHEMICAL ENGINEERING",97,54,82,99,43,99,178,89,"5","4","4","3",65.8
"7690","F","Complete technique or technology","Postgraduate education","Technical or professional level employee","Technical or professional level employee","Stratum 4","It is not classified by the SISBEN","Six","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",65,65,68,64,78,"INDUSTRIAL ENGINEERING",93,80,84,93,95,183,189,96,"5","4","4","4",68
"7691","M","Complete professional education","Complete professional education","Executive","Home","Stratum 5","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",100,64,90,87,90,"MECHANICAL ENGINEERING",100,89,96,100,79,155,202,99,"5","4","4","4",86.2
